id,plate,lat,lon,energyLevel,retrieved_datestamp,retrieved_timestamp
0b336042-f0cf-4a80-be95-a4df460d25fb,HG1 61M,49.284275,-123.119475,96,2024/11/20,07:25:02
0b3fef70-96f1-42f4-87fa-9eb9307a3b84,EB0343,49.155076,-123.95066,73,2024/11/20,07:25:02
0b61da75-3c18-4acb-a168-886077851b49,EB0157,49.27818,-122.909812,73,2024/11/20,07:25:02
0b87360c-d482-43db-8d6d-57f61271a2cc,NX0 01C,49.225558,-122.894502,96,2024/11/20,07:25:02
0b9b5f8b-7fd9-4747-bb0a-23635e87c69f,EB0392,49.164817,-123.931078,97,2024/11/20,07:25:02
0be7fffc-df8c-4ae5-8ddc-5f635972402c,VN8 52R,49.236675,-123.13722,46,2024/11/20,07:25:02
0c0e6ad1-4102-41e9-aadd-028f8a960069,TK2 49H,48.429827,-123.331506,66,2024/11/20,07:25:02
0c33f47a-f2f9-44c0-a7f1-2d67727766b6,SV6 72F,48.467822,-123.323721,91,2024/11/20,07:25:02
0cc377e8-1fa1-432a-8708-beb59c0c214d,SV6 11F,49.208986,-123.126054,69,2024/11/20,07:25:02
0ccd9f23-7b50-4a62-9215-8ffc1850998e,HG2 07M,49.23055,-122.886362,73,2024/11/20,07:25:02
0ccf3df0-8cad-4b27-8493-020ce008ce1d,VG5 74K,49.243574,-123.091947,93,2024/11/20,07:25:02
0cd274dd-f9d4-4a9b-9e0c-805820b84c5f,EB0284,49.673627,-124.920563,77,2024/11/20,07:25:02
0d1979b1-2474-45cb-8b9f-d3e0d0d37109,EB0268,49.710533,-124.968398,97,2024/11/20,07:25:02
0d70758e-e66f-4d6f-a766-9bf2a133395f,NX0 37C,49.264796,-123.069678,42,2024/11/20,07:25:02
0da8919e-3df8-4845-aef8-b1490a7ba245,CH6 87A,49.271949,-123.078795,37,2024/11/20,07:25:02
0db00b95-3715-4659-8211-ca3a83e27fab,EB0215,49.279526,-122.907352,68,2024/11/20,07:25:02
0de0f578-61c5-4fed-8525-7be239f7a1e1,EB0490,49.278859,-122.92043,86,2024/11/20,07:25:02
0e1d22ff-1101-4c3a-b16e-052d31590566,EV0 03V,49.235558,-123.017485,94,2024/11/20,07:25:02
0e337c6d-e0cc-465b-9fab-6ddb6ebec855,VG5 34K,49.241185,-123.150544,21,2024/11/20,07:25:02
0e752e77-c061-4a64-a89e-4df3e9b4e149,EV0 83A,49.28538,-123.049284,97,2024/11/20,07:25:02
0e9d5d5b-87ca-48f4-8be4-551efa23905c,SV7 70F,49.260145,-123.053704,83,2024/11/20,07:25:02
0ecaeb38-e71c-43dc-867b-3bf18169688c,WA1 47N,49.258632,-123.065516,82,2024/11/20,07:25:02
0eec52c3-8ecb-4f7c-bbb2-7b5e1471567d,EB0332,49.159009,-123.955002,81,2024/11/20,07:25:02
0eee7dc8-3226-4da4-91a2-f384fa281b69,WA1 44N,49.239475,-123.036253,70,2024/11/20,07:25:02
0f2aba50-0b49-46ae-b732-034576ae446c,EB0434,49.157535,-123.966328,91,2024/11/20,07:25:02
0f746eae-0fc8-4d45-8fd7-7e6edb1003a4,TK1 90H,49.285843,-123.112543,80,2024/11/20,07:25:02
0f78ae13-1abd-4f8d-9b0e-80196be6b2e8,SV6 28F,49.224758,-123.105344,51,2024/11/20,07:25:02
0ff60b08-faf1-4dac-a77e-76a37970e585,EV0 35C,49.225211,-123.027091,82,2024/11/20,07:25:02
0ff89dec-942b-4c9f-8143-acf43624860c,WA1 83N,49.25041,-123.188134,61,2024/11/20,07:25:02
0ffafeeb-ad96-4083-9475-d1b67ce5841b,VG3 80K,49.21649,-123.052328,96,2024/11/20,07:25:02
10022e57-8885-4a98-b065-a71256669ce5,EV0 87X,49.2554,-123.083373,16,2024/11/20,07:25:02
102174e8-127c-4a19-be88-e6bbe36a208e,HG2 57M,49.234493,-123.065818,72,2024/11/20,07:25:02
105671e1-172d-45ed-8b63-2fad8085d8c2,HG2 64M,49.239389,-123.07241,85,2024/11/20,07:25:02
107c3d2f-8883-4e10-9a2a-973168d76645,HE3 16J,49.322297,-123.092443,96,2024/11/20,07:25:02
10939f9a-b269-4fd7-a5a8-b3d1c3e53945,SV7 35F,48.421056,-123.331629,43,2024/11/20,07:25:02
10a2e148-8338-465a-ad2b-aafc46208793,HT6 41P,49.253837,-123.029658,19,2024/11/20,07:25:02
10bac0b9-c0d3-4149-808e-c8c91065451c,SV6 12F,49.252819,-123.177323,96,2024/11/20,07:25:02
115c65c1-3737-4979-a8ff-729606b80f81,EB0445,49.166057,-123.934749,89,2024/11/20,07:25:02
11839b5d-34b1-4fee-b3d4-95e4c827815c,EB0371,49.280345,-122.922507,94,2024/11/20,07:25:02
11c91910-56cb-4198-b27f-316f4be1c49e,DN9 14K,49.236637,-123.006247,96,2024/11/20,07:25:02
122cb4dc-337d-4940-a131-83f620f8df06,HM8 08D,49.242275,-123.169293,58,2024/11/20,07:25:02
12531f42-2a80-491c-b4d8-23f42eeeb62f,EV0 48C,49.259213,-123.043662,39,2024/11/20,07:25:02
126002d5-1dc2-4dd9-a79f-fd4bdba4328e,SV6 84F,48.41265,-123.343916,39,2024/11/20,07:25:02
12fa51f0-b9e0-45ed-a05b-11bded446cbb,VS7 96B,49.252994,-123.184648,55,2024/11/20,07:25:02
133c3022-0397-4ba4-82b3-1ab719ca3b31,HG1 95M,49.285654,-123.115328,58,2024/11/20,07:25:02
13cbc39c-a562-4658-ba50-5dce7a6d96c8,EV0 40X,49.241178,-123.185344,79,2024/11/20,07:25:02
13df627f-d2c6-4b1d-adc8-86b61843024c,ST1 72E,49.249011,-122.901956,87,2024/11/20,07:25:02
14423605-4f93-49b4-ba45-b0243250bfad,EV0 55W,48.432752,-123.325652,18,2024/11/20,07:25:02
144f85d2-53db-44bf-b506-ef881c29e6cf,NG3 64H,49.219933,-123.089514,44,2024/11/20,07:25:02
14b5e2ea-5fdd-4f73-bfe7-1ce324fb5346,SV7 22F,48.461415,-123.329915,13,2024/11/20,07:25:02
14ee00b3-89a9-43d3-89dd-2350e3acf521,SP5 50X,49.279091,-123.02613,92,2024/11/20,07:25:02
16318f39-4a21-4e31-aa72-a7b91b189a4e,VS7 70B,49.248035,-123.060596,57,2024/11/20,07:25:02
167a35d3-ba91-4d8f-8570-587246ab7da0,SP5 51X,49.286942,-123.120583,69,2024/11/20,07:25:02
16b96071-6740-4d49-b367-0b68be41111d,EV0 44W,48.428922,-123.369559,78,2024/11/20,07:25:02
16d94261-6545-438a-9a38-2115e65126a8,DN8 75K,49.256999,-123.148449,64,2024/11/20,07:25:02
171f2650-6128-4264-889e-d58942607a21,ST1 59E,49.306134,-123.066163,73,2024/11/20,07:25:02
174dd663-1b6c-4d37-9b56-edf9b5c28dac,EV0 96B,49.230482,-123.108593,97,2024/11/20,07:25:02
175dd5ea-25e1-4fbb-a3d9-5edcb88f6b3e,VN8 60R,49.253815,-123.176202,98,2024/11/20,07:25:02
17bb30dc-8e81-487e-9efc-fe079d0f8241,NX0 27C,49.309567,-123.048358,75,2024/11/20,07:25:02
17c92fda-8356-4523-97b8-e6032e443205,SV6 17F,49.261763,-123.069952,94,2024/11/20,07:25:02
17d58dff-af1b-4bba-86ad-bd448cd1f970,EB0285,49.165282,-123.941469,91,2024/11/20,07:25:02
17d798f9-b88f-48ef-af69-eb6fd3f2334d,WA1 34N,49.313588,-123.048478,60,2024/11/20,07:25:02
17fa3733-9855-47bd-92c0-87f3a4954db6,VS7 76B,49.254427,-123.003628,31,2024/11/20,07:25:02
180d5e64-9fc5-40fa-9fb0-d2828d3bc33d,EV0 99B,49.289188,-123.012865,52,2024/11/20,07:25:02
182d6307-6074-4613-b04a-9e53b8d1f5e2,EV0 32B,49.235386,-123.068707,36,2024/11/20,07:25:02
185034da-c4e6-4066-896b-0e5506516317,NX9 68B,49.213184,-123.100186,42,2024/11/20,07:25:02
185950f0-20d8-48f5-8c07-614938c4debd,SV7 16F,48.412067,-123.327441,70,2024/11/20,07:25:02
18f34951-499e-4b60-bf2e-c900c9a7218e,EB0153,49.280243,-122.922571,90,2024/11/20,07:25:02
191a18ce-d7e1-4835-9bf5-ebe1386e33b3,EB0165,49.163962,-123.936501,73,2024/11/20,07:25:02
192357fe-9e6d-4089-b88d-166a6134c101,CR3 28N,49.262782,-123.240257,97,2024/11/20,07:25:02
19c05156-dfb4-48b2-a554-36777a1cf1d7,HG1 86M,49.236522,-123.030272,96,2024/11/20,07:25:02
